Date,Meters,Celsius,X,Y,Z
17:17:31,96.37,25.75,339,335,431
17:17:32,96.25,25.75,339,334,432
17:17:33,96.25,25.75,339,334,432
17:17:34,96.18,25.75,339,334,432
17:17:35,96.50,25.75,339,334,432
17:17:36,96.25,25.75,339,334,432
17:17:37,96.25,25.75,339,334,432
17:17:38,96.50,25.75,339,335,432
17:17:39,96.37,25.75,339,334,432
17:17:40,96.37,25.75,339,334,432
17:17:41,96.37,25.75,339,334,431
17:17:42,96.43,25.75,339,335,431
17:17:43,96.50,25.75,339,335,432
17:17:44,96.25,25.75,339,335,431
17:17:45,96.43,25.75,339,334,432
17:17:46,96.62,25.75,339,334,432
17:17:47,96.56,25.75,339,334,432
17:17:48,96.56,25.75,339,335,432
17:17:49,96.81,25.75,339,334,432
17:17:50,96.43,25.75,339,334,432
17:17:51,96.37,25.75,339,335,431
17:17:52,96.50,25.75,339,334,432
17:17:53,96.37,25.75,339,334,432
17:17:54,96.50,25.75,339,335,432
17:17:55,96.43,25.75,339,334,432
17:17:56,96.43,25.75,339,335,432
17:17:57,96.37,25.75,338,335,431
17:17:58,96.31,25.75,339,334,432
17:17:59,96.25,25.75,341,339,441
17:18:0,96.56,25.75,338,335,425
17:18:1,96.56,25.75,339,335,432
17:18:2,96.31,25.75,339,335,432
17:18:3,96.43,25.75,339,334,432
17:18:4,96.37,25.75,339,335,432
17:18:5,96.37,25.75,339,334,432
17:18:6,96.37,25.75,339,334,432
17:18:7,96.31,25.81,339,334,432
17:18:8,96.25,25.81,339,334,431
17:18:9,96.37,25.81,339,335,432
17:18:10,96.18,25.81,338,336,432
17:18:11,96.25,25.81,340,335,432
17:18:12,96.37,25.75,339,334,431
17:18:13,96.50,25.75,340,335,432
17:18:14,96.12,25.81,339,334,432
17:18:15,96.50,25.75,339,335,432
17:18:16,96.25,25.81,339,334,432
17:18:17,96.18,25.81,339,335,432
17:18:18,96.25,25.81,339,335,432
17:18:19,96.43,25.81,339,335,432
17:18:20,96.12,25.81,339,335,432
17:18:21,96.25,25.81,339,335,431
17:18:22,96.43,25.81,339,335,432
17:18:23,96.50,25.81,339,331,432
17:18:24,96.31,25.81,339,335,432
17:18:25,96.12,25.81,339,335,432
17:18:26,96.81,25.75,339,335,432
17:18:27,96.31,25.81,339,335,432
17:18:28,96.18,25.81,339,335,432
17:18:29,96.0,25.81,339,335,432
17:18:30,96.12,25.81,339,335,432
17:18:31,96.37,25.81,339,335,432
17:18:32,96.12,25.81,339,335,432
17:18:33,96.6,25.81,339,335,431
17:18:34,96.25,25.81,339,334,432
17:18:35,96.37,25.81,339,335,432
17:18:36,96.43,25.81,339,335,432
17:18:37,96.56,25.81,339,335,432
17:18:38,96.50,25.81,339,335,432
17:18:39,96.37,25.81,339,335,432
17:18:40,96.43,25.81,339,335,432
17:18:41,96.25,25.81,339,335,432
17:18:42,96.37,25.81,339,335,432
17:18:43,96.12,25.81,339,335,432
17:18:44,96.37,25.81,339,335,432
17:18:45,96.6,25.81,339,335,432
17:18:46,96.56,25.75,339,335,432
17:18:47,96.25,25.75,339,335,432
17:18:48,96.56,25.75,339,335,432
17:18:49,96.43,25.75,339,334,432
17:18:50,96.43,25.75,339,335,432
17:18:51,96.43,25.75,339,335,432
17:18:52,96.37,25.75,339,334,432
17:18:53,96.37,25.75,339,335,432
17:18:54,96.56,25.75,343,331,438
17:18:55,96.68,25.75,352,343,432
17:18:56,96.25,25.75,344,332,430
17:18:57,96.31,25.75,339,336,432
17:18:58,96.50,25.75,340,334,433
17:18:59,96.31,25.75,340,335,432
17:19:0,96.50,25.75,342,342,432
17:19:1,96.50,25.75,340,335,432
17:19:2,96.25,25.75,340,335,432
17:19:3,96.37,25.81,348,314,421
17:19:4,96.50,25.81,343,336,434
17:19:5,96.25,25.81,346,342,431
17:19:6,96.37,25.81,342,335,431
17:19:7,96.18,25.81,342,336,430
17:19:8,96.12,25.81,336,336,433
17:19:9,96.31,25.81,340,337,431
17:19:10,96.25,25.81,345,334,432
17:19:11,96.6,25.87,339,337,431
17:19:12,96.18,25.87,337,340,433
17:19:13,96.37,25.81,338,335,433
17:19:14,96.31,25.81,339,336,432
17:19:15,96.50,25.81,339,337,432
17:19:16,96.56,25.81,339,337,432
17:19:17,96.25,25.81,339,337,432
17:19:18,96.50,25.81,339,337,432
17:19:19,96.31,25.81,339,337,432
17:19:20,96.68,25.81,339,337,432
17:19:21,96.31,25.81,340,337,432
17:19:22,96.50,25.81,339,337,432
17:19:23,96.37,25.81,339,337,432
17:19:24,96.31,25.81,339,337,432
17:19:25,96.31,25.81,339,337,431
17:19:26,96.50,25.81,339,337,432
17:19:27,96.25,25.81,339,337,432
17:19:28,96.37,25.81,339,337,432
17:19:29,96.12,25.81,339,337,432
17:19:30,96.31,25.81,339,337,432
17:19:31,96.68,25.81,339,337,432
17:19:32,96.50,25.81,339,337,432
17:19:33,96.31,25.81,339,337,432
17:19:34,96.31,25.81,339,337,432
17:19:35,96.37,25.81,339,337,432
17:19:36,96.43,25.81,339,337,431
17:19:37,96.31,25.81,339,337,432
17:19:38,96.50,25.81,339,337,431
17:19:38,96.50,25.81,339,337,432
